job_title,experience_level,employment_type,work_models,salary,company_size
Data Architect,Senior-level,Full-time,Remote,175000,Medium
Data Architect,Senior-level,Full-time,Remote,125000,Medium
Data Science,Executive-level,Full-time,On-site,175762,Medium
Data Science,Executive-level,Full-time,On-site,97254,Medium
Applied Scientist,Senior-level,Full-time,Remote,218213,Medium
Applied Scientist,Senior-level,Full-time,Remote,178538,Medium
Research Engineer,Mid-level,Full-time,On-site,440000,Medium
Research Engineer,Mid-level,Full-time,On-site,295000,Medium
Research Engineer,Mid-level,Full-time,On-site,118600,Medium
Research Engineer,Mid-level,Full-time,On-site,96800,Medium
Data Scientist,Mid-level,Full-time,On-site,198800,Medium
Data Scientist,Mid-level,Full-time,On-site,90700,Medium
Data Engineer,Senior-level,Full-time,On-site,145000,Medium
Data Engineer,Senior-level,Full-time,On-site,115000,Medium
Data Engineer,Senior-level,Full-time,On-site,269100,Medium
Data Engineer,Senior-level,Full-time,On-site,131300,Medium
Research Engineer,Mid-level,Full-time,On-site,245000,Medium
Data Analyst,Entry-level,Full-time,On-site,99900,Medium
Data Analyst,Entry-level,Full-time,On-site,83000,Medium
Research Engineer,Mid-level,Full-time,On-site,240960,Medium
Research Engineer,Mid-level,Full-time,On-site,190000,Medium
Data Architect,Senior-level,Full-time,On-site,178600,Medium
Data Architect,Senior-level,Full-time,On-site,67200,Medium
Data Visualization Specialist,Mid-level,Full-time,On-site,170200,Medium
Data Visualization Specialist,Mid-level,Full-time,On-site,83900,Medium
Data Analyst,Senior-level,Full-time,Remote,169000,Medium
Data Analyst,Senior-level,Full-time,Remote,120000,Medium
Research Engineer,Senior-level,Full-time,On-site,450000,Medium
Research Engineer,Senior-level,Full-time,On-site,245000,Medium
ETL Developer,Senior-level,Full-time,On-site,99500,Medium
ETL Developer,Senior-level,Full-time,On-site,53300,Medium
Research Engineer,Senior-level,Full-time,On-site,240960,Medium
Research Engineer,Senior-level,Full-time,On-site,200800,Medium
Data Science Practitioner,Mid-level,Full-time,On-site,170200,Medium
Data Science Practitioner,Mid-level,Full-time,On-site,83900,Medium
Data Engineer,Mid-level,Full-time,Remote,125000,Medium
Data Engineer,Mid-level,Full-time,Remote,115000,Medium
Data Science,Senior-level,Full-time,On-site,261050,Medium
Data Science,Senior-level,Full-time,On-site,187000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,331640,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,283780,Medium
Data Analyst,Senior-level,Full-time,On-site,146500,Medium
Data Analyst,Senior-level,Full-time,On-site,96000,Medium
Computer Vision Engineer,Senior-level,Full-time,On-site,235000,Medium
Computer Vision Engineer,Senior-level,Full-time,On-site,185000,Medium
Data Scientist,Mid-level,Full-time,Remote,140400,Medium
Data Scientist,Mid-level,Full-time,Remote,90000,Medium
Research Scientist,Senior-level,Full-time,On-site,440000,Medium
Research Scientist,Senior-level,Full-time,On-site,245000,Medium
Data Architect,Senior-level,Full-time,On-site,76300,Medium
Data Engineer,Senior-level,Full-time,On-site,260000,Medium
Data Engineer,Senior-level,Full-time,On-site,225000,Medium
Data Engineer,Senior-level,Full-time,On-site,165000,Medium
Data Engineer,Senior-level,Full-time,On-site,137000,Medium
Applied Scientist,Senior-level,Full-time,On-site,260000,Large
Applied Scientist,Senior-level,Full-time,On-site,136000,Large
Data Scientist,Senior-level,Full-time,On-site,296100,Medium
Data Scientist,Senior-level,Full-time,On-site,144500,Medium
Research Scientist,Senior-level,Full-time,On-site,278700,Medium
Research Scientist,Senior-level,Full-time,On-site,159300,Medium
Data Scientist,Senior-level,Full-time,Remote,206000,Medium
Data Scientist,Senior-level,Full-time,Remote,140250,Medium
Analytics Engineer,Mid-level,Full-time,On-site,100000,Medium
Analytics Engineer,Mid-level,Full-time,On-site,75000,Medium
Data Lead,Senior-level,Full-time,On-site,180000,Medium
Data Lead,Senior-level,Full-time,On-site,140000,Medium
Data Analyst,Senior-level,Full-time,On-site,116800,Medium
Data Analyst,Senior-level,Full-time,On-site,87600,Medium
Data Scientist,Senior-level,Full-time,On-site,170000,Medium
Data Scientist,Senior-level,Full-time,On-site,125000,Medium
Data Architect,Senior-level,Full-time,On-site,283500,Medium
Data Architect,Senior-level,Full-time,On-site,149000,Medium
ML Engineer,Senior-level,Full-time,On-site,357900,Medium
ML Engineer,Senior-level,Full-time,On-site,189400,Medium
Data Scientist,Senior-level,Full-time,On-site,212000,Medium
Data Scientist,Senior-level,Full-time,On-site,93400,Medium
Data Engineer,Senior-level,Full-time,On-site,128656,Medium
Data Engineer,Senior-level,Full-time,On-site,103330,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,250900,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,135200,Medium
Applied Scientist,Senior-level,Full-time,On-site,414000,Medium
Applied Scientist,Senior-level,Full-time,On-site,216000,Medium
Data Specialist,Mid-level,Full-time,On-site,69000,Medium
Data Specialist,Mid-level,Full-time,On-site,51000,Medium
Data Analyst,Senior-level,Full-time,On-site,109000,Medium
Data Analyst,Senior-level,Full-time,On-site,62300,Medium
Analytics Engineer,Mid-level,Full-time,On-site,134160,Medium
Analytics Engineer,Mid-level,Full-time,On-site,72240,Medium
Data Analyst,Mid-level,Full-time,On-site,90500,Medium
Data Analyst,Mid-level,Full-time,On-site,42400,Medium
Data Architect,Senior-level,Full-time,On-site,381500,Medium
Data Architect,Senior-level,Full-time,On-site,202500,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,257000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,129000,Medium
Data Analyst,Entry-level,Full-time,Remote,120000,Medium
Data Analyst,Entry-level,Full-time,Remote,100000,Medium
Data Analyst,Entry-level,Full-time,On-site,80000,Medium
Data Analyst,Entry-level,Full-time,On-site,45700,Medium
Data Science,Senior-level,Full-time,On-site,138000,Medium
Data Science,Senior-level,Full-time,On-site,86000,Medium
Data Science,Senior-level,Full-time,On-site,152000,Medium
Data Science,Senior-level,Full-time,On-site,133200,Medium
Data Analyst,Senior-level,Full-time,On-site,135000,Medium
Data Analyst,Senior-level,Full-time,On-site,120000,Medium
Data Engineer,Senior-level,Full-time,On-site,175000,Medium
Data Engineer,Senior-level,Full-time,On-site,150000,Medium
Data Developer,Mid-level,Full-time,On-site,100000,Medium
Data Developer,Mid-level,Full-time,On-site,95000,Medium
Data Analyst,Senior-level,Full-time,Remote,134200,Medium
Data Analyst,Senior-level,Full-time,Remote,117000,Medium
Research Scientist,Mid-level,Full-time,On-site,179000,Medium
Research Scientist,Mid-level,Full-time,On-site,112000,Medium
Data Architect,Senior-level,Full-time,On-site,234000,Medium
Data Architect,Senior-level,Full-time,On-site,146000,Medium
Data Analyst,Entry-level,Full-time,Remote,75065,Medium
Data Analyst,Entry-level,Full-time,Remote,41419,Medium
Data Engineer,Mid-level,Full-time,On-site,107800,Medium
Data Engineer,Mid-level,Full-time,On-site,61600,Medium
ML Engineer,Senior-level,Full-time,On-site,324000,Medium
ML Engineer,Senior-level,Full-time,On-site,159000,Medium
Data Analyst,Entry-level,Full-time,Remote,80000,Medium
Data Analyst,Entry-level,Full-time,Remote,75000,Medium
Research Scientist,Senior-level,Full-time,On-site,179000,Medium
Research Scientist,Senior-level,Full-time,On-site,112000,Medium
Data Engineer,Senior-level,Full-time,On-site,247300,Medium
Data Engineer,Senior-level,Full-time,On-site,139700,Medium
Data Analyst,Entry-level,Full-time,On-site,93000,Medium
Data Analyst,Entry-level,Full-time,On-site,65750,Medium
Research Scientist,Senior-level,Full-time,On-site,234000,Medium
Research Scientist,Senior-level,Full-time,On-site,146000,Medium
Data Engineer,Mid-level,Full-time,On-site,130000,Medium
Data Engineer,Mid-level,Full-time,On-site,90800,Medium
Data Engineer,Mid-level,Full-time,On-site,166000,Medium
Data Engineer,Mid-level,Full-time,On-site,73100,Medium
Data Scientist,Mid-level,Full-time,On-site,166000,Medium
Data Scientist,Mid-level,Full-time,On-site,73100,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,186754,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,101000,Medium
Data Engineer,Senior-level,Full-time,On-site,138000,Medium
Data Engineer,Senior-level,Full-time,On-site,86000,Medium
Data Engineer,Mid-level,Full-time,On-site,106050,Medium
Data Engineer,Mid-level,Full-time,On-site,80420,Medium
Data Analyst,Entry-level,Full-time,On-site,179000,Medium
Data Analyst,Entry-level,Full-time,On-site,112000,Medium
Research Engineer,Senior-level,Full-time,On-site,234000,Medium
Research Engineer,Senior-level,Full-time,On-site,146000,Medium
Data Architect,Senior-level,Full-time,On-site,186000,Medium
Data Architect,Senior-level,Full-time,On-site,81800,Medium
Data Engineer,Senior-level,Full-time,On-site,160000,Medium
Data Engineer,Senior-level,Full-time,On-site,94100,Medium
Data Engineer,Executive-level,Full-time,On-site,225000,Medium
Data Engineer,Executive-level,Full-time,On-site,215000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,303400,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,216700,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,166000,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,73100,Medium
Data Modeler,Senior-level,Full-time,Remote,130000,Medium
Data Modeler,Senior-level,Full-time,Remote,110000,Medium
Data Engineer,Mid-level,Full-time,On-site,115000,Medium
Data Engineer,Mid-level,Full-time,On-site,80000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,195000,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,170000,Medium
Research Scientist,Senior-level,Full-time,On-site,295000,Medium
Data Engineer,Senior-level,Full-time,Remote,152375,Medium
Data Engineer,Senior-level,Full-time,Remote,94000,Medium
Data Developer,Senior-level,Full-time,Remote,180000,Medium
Data Developer,Senior-level,Full-time,Remote,130000,Medium
Analytics Engineer,Senior-level,Full-time,Remote,195000,Medium
Analytics Engineer,Senior-level,Full-time,Remote,165000,Medium
Data Scientist,Mid-level,Full-time,On-site,218000,Medium
Data Scientist,Mid-level,Full-time,On-site,152600,Medium
Machine Learning Scientist,Mid-level,Full-time,On-site,750000,Medium
Machine Learning Scientist,Mid-level,Full-time,On-site,150000,Medium
Data Scientist,Senior-level,Full-time,On-site,136197,Medium
Data Scientist,Senior-level,Full-time,On-site,100000,Medium
Research Engineer,Senior-level,Full-time,On-site,295000,Medium
Data Engineer,Executive-level,Full-time,On-site,179000,Medium
Data Engineer,Executive-level,Full-time,On-site,112000,Medium
Data Scientist,Mid-level,Full-time,On-site,175100,Medium
Data Scientist,Mid-level,Full-time,On-site,82915,Medium
Data Science Consultant,Senior-level,Full-time,On-site,112000,Medium
Data Science Consultant,Senior-level,Full-time,On-site,109000,Medium
Analytics Engineer,Mid-level,Full-time,On-site,116550,Medium
Analytics Engineer,Mid-level,Full-time,On-site,79200,Medium
Data Scientist,Mid-level,Full-time,Remote,168000,Medium
Data Scientist,Mid-level,Full-time,Remote,120000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,210000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,160000,Medium
Data Engineer,Senior-level,Full-time,On-site,116000,Medium
Data Engineer,Senior-level,Full-time,On-site,90000,Medium
Research Scientist,Senior-level,Full-time,On-site,247600,Large
Research Scientist,Senior-level,Full-time,On-site,127300,Large
Data Scientist,Senior-level,Full-time,Remote,190600,Medium
Data Scientist,Senior-level,Full-time,Remote,94400,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,258100,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,151900,Medium
Research Engineer,Mid-level,Full-time,On-site,720000,Medium
Research Engineer,Mid-level,Full-time,On-site,100000,Medium
Data Analyst,Senior-level,Full-time,On-site,171000,Medium
Data Analyst,Senior-level,Full-time,On-site,93000,Medium
Data Science Consultant,Senior-level,Full-time,On-site,104000,Medium
Data Science Consultant,Senior-level,Full-time,On-site,80000,Medium
Data Analyst,Mid-level,Full-time,On-site,158000,Medium
Data Analyst,Mid-level,Full-time,On-site,106000,Medium
Research Scientist,Mid-level,Full-time,On-site,720000,Medium
Research Scientist,Mid-level,Full-time,On-site,100000,Medium
Data Analyst,Senior-level,Full-time,On-site,140130,Medium
Data Analyst,Senior-level,Full-time,On-site,84870,Medium
Data Scientist,Senior-level,Full-time,Remote,220000,Medium
Data Scientist,Senior-level,Full-time,Remote,170000,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,117750,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,70650,Medium
Data Engineer,Senior-level,Full-time,On-site,233200,Medium
Data Engineer,Senior-level,Full-time,On-site,144200,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,247500,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,172200,Medium
Data Engineer,Mid-level,Full-time,On-site,138000,Medium
Data Engineer,Mid-level,Full-time,On-site,86000,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,92000,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,80000,Medium
BI Developer,Senior-level,Full-time,Remote,90000,Medium
BI Developer,Senior-level,Full-time,Remote,70000,Medium
Business Intelligence Analyst,Senior-level,Full-time,On-site,127000,Medium
Business Intelligence Analyst,Senior-level,Full-time,On-site,72600,Medium
Data Developer,Entry-level,Full-time,Remote,70000,Medium
Data Developer,Entry-level,Full-time,Remote,50000,Medium
Data Analyst,Entry-level,Full-time,On-site,71000,Medium
AI Architect,Senior-level,Full-time,On-site,198650,Medium
AI Architect,Senior-level,Full-time,On-site,137000,Medium
Data Architect,Senior-level,Full-time,On-site,160000,Medium
Data Architect,Senior-level,Full-time,On-site,100000,Medium
Data Analyst,Entry-level,Full-time,Remote,92700,Medium
Data Analyst,Entry-level,Full-time,Remote,64900,Medium
Data Scientist,Mid-level,Full-time,On-site,73000,Medium
Data Analyst,Mid-level,Full-time,Remote,81713,Medium
Data Analyst,Mid-level,Full-time,Remote,48067,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,179000,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,112000,Medium
Data Science,Senior-level,Full-time,On-site,111800,Medium
Data Science,Senior-level,Full-time,On-site,68195,Medium
Business Intelligence Analyst,Senior-level,Full-time,On-site,132000,Medium
Business Intelligence Analyst,Senior-level,Full-time,On-site,82500,Medium
Research Engineer,Mid-level,Full-time,On-site,140000,Medium
Data Analyst,Mid-level,Full-time,Remote,85000,Medium
Data Analyst,Mid-level,Full-time,Remote,61800,Medium
Data Analyst,Mid-level,Full-time,On-site,129118,Medium
Data Analyst,Mid-level,Full-time,On-site,86078,Medium
Data Scientist,Mid-level,Full-time,On-site,97000,Medium
Data Scientist,Mid-level,Full-time,On-site,62000,Medium
Data Science Manager,Mid-level,Full-time,Remote,237000,Medium
Data Science Manager,Mid-level,Full-time,Remote,201450,Medium
Research Engineer,Senior-level,Full-time,On-site,97000,Medium
Research Engineer,Senior-level,Full-time,On-site,62000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,253000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,187000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,250000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,150000,Medium
Data Engineer,Mid-level,Full-time,On-site,184000,Medium
Data Engineer,Mid-level,Full-time,On-site,123000,Medium
Data Scientist,Senior-level,Full-time,On-site,245000,Medium
Data Scientist,Senior-level,Full-time,On-site,180000,Medium
Data Engineer,Senior-level,Full-time,On-site,184000,Medium
Data Engineer,Senior-level,Full-time,On-site,123000,Medium
AI Architect,Senior-level,Full-time,On-site,317000,Medium
AI Architect,Senior-level,Full-time,On-site,266000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,229000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,221000,Medium
Data Engineer,Senior-level,Full-time,Remote,210000,Medium
Data Engineer,Senior-level,Full-time,Remote,162000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,198000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,162000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,300000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,180000,Medium
Data Scientist,Mid-level,Full-time,On-site,68088,Medium
Data Scientist,Mid-level,Full-time,On-site,54552,Medium
Data Scientist,Senior-level,Full-time,On-site,324000,Medium
Data Scientist,Senior-level,Full-time,On-site,159000,Medium
Data Analytics Manager,Mid-level,Full-time,On-site,99000,Medium
Data Analytics Manager,Mid-level,Full-time,On-site,70000,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,146000,Medium
Data Engineer,Mid-level,Full-time,Remote,110000,Medium
Data Engineer,Mid-level,Full-time,Remote,90000,Medium
Data Scientist,Mid-level,Full-time,On-site,60000,Medium
Data Scientist,Mid-level,Full-time,On-site,55000,Medium
Data Analyst,Entry-level,Full-time,On-site,116013,Medium
Data Analyst,Entry-level,Full-time,On-site,92810,Medium
Research Analyst,Senior-level,Full-time,On-site,200000,Medium
Research Analyst,Senior-level,Full-time,On-site,150000,Medium
Data Engineer,Senior-level,Full-time,On-site,221000,Medium
Data Engineer,Mid-level,Full-time,On-site,146100,Medium
Data Engineer,Mid-level,Full-time,On-site,86500,Medium
Data Scientist,Senior-level,Full-time,On-site,159300,Medium
Data Scientist,Senior-level,Full-time,On-site,96600,Medium
Data Engineer,Senior-level,Full-time,On-site,209300,Medium
Data Engineer,Senior-level,Full-time,On-site,118300,Medium
Data Scientist,Senior-level,Full-time,Remote,130000,Medium
Data Engineer,Senior-level,Full-time,Remote,140000,Medium
Data Engineer,Senior-level,Full-time,Remote,97200,Medium
Data Analyst,Senior-level,Full-time,Remote,140000,Medium
Data Engineer,Mid-level,Full-time,On-site,308000,Medium
Data Engineer,Mid-level,Full-time,On-site,193000,Medium
Data Engineer,Senior-level,Full-time,On-site,240000,Medium
Data Engineer,Senior-level,Full-time,On-site,180000,Medium
Data Analyst,Senior-level,Full-time,On-site,126480,Medium
Data Analyst,Senior-level,Full-time,On-site,82620,Medium
Data Scientist,Mid-level,Full-time,Remote,140025,Medium
Data Scientist,Mid-level,Full-time,Remote,102300,Medium
Research Scientist,Mid-level,Full-time,Remote,81500,Medium
Research Scientist,Mid-level,Full-time,Remote,75000,Medium
Data Scientist,Senior-level,Full-time,On-site,106875,Medium
Data Scientist,Senior-level,Full-time,On-site,71250,Medium
Data Science Engineer,Mid-level,Full-time,Remote,245000,Medium
Data Science Engineer,Mid-level,Full-time,Remote,135000,Medium
Business Intelligence Developer,Senior-level,Full-time,On-site,144138,Medium
Business Intelligence Developer,Senior-level,Full-time,On-site,104828,Medium
Data Scientist,Senior-level,Full-time,On-site,161000,Medium
Data Scientist,Senior-level,Full-time,On-site,133200,Medium
Data Scientist,Mid-level,Full-time,On-site,161875,Medium
Data Scientist,Mid-level,Full-time,On-site,97125,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,196350,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,127500,Medium
Data Scientist,Mid-level,Full-time,Remote,135450,Medium
Data Scientist,Mid-level,Full-time,Remote,72870,Medium
Data Science,Senior-level,Full-time,On-site,237200,Medium
Data Science,Senior-level,Full-time,On-site,172500,Medium
Data Scientist,Senior-level,Full-time,On-site,184800,Medium
Data Scientist,Senior-level,Full-time,On-site,161900,Medium
Data Scientist,Senior-level,Full-time,On-site,146800,Medium
Data Scientist,Senior-level,Full-time,On-site,117400,Medium
Data Analyst,Entry-level,Full-time,On-site,90000,Medium
Data Analyst,Entry-level,Full-time,On-site,60000,Medium
Data Product Manager,Senior-level,Full-time,On-site,227200,Medium
Data Product Manager,Senior-level,Full-time,On-site,199100,Medium
Data Scientist,Mid-level,Full-time,On-site,310000,Medium
Data Engineer,Senior-level,Full-time,On-site,140000,Medium
Data Engineer,Senior-level,Full-time,On-site,125000,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,223000,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,171600,Medium
Data Analyst,Senior-level,Full-time,Remote,192500,Medium
Data Analyst,Senior-level,Full-time,Remote,122500,Medium
Data Analyst,Senior-level,Full-time,Remote,162900,Medium
Data Analyst,Senior-level,Full-time,Remote,117725,Medium
Data Analyst,Entry-level,Full-time,On-site,140000,Medium
Data Analyst,Entry-level,Full-time,On-site,100000,Medium
Data Engineer,Mid-level,Full-time,Remote,170000,Medium
Data Engineer,Mid-level,Full-time,Remote,105000,Medium
